title,artist,artist nationality,sitter,is_self_portrait,sitter gender,size,date,thumbnail,mediaURLs
Portrait of a Boy,,Italian,,FALSE,Male,Regular,ca. 1800,"https://ids.si.edu/ids/iiif/SAAM-1956.11.41_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1956.11.41_1]
Portrait of a Child,"Raphaelle Peale (b. Annapolis, MD 1774 d. Philadelphia)",American,,FALSE,Female,Miniature,ca. 1800,"https://ids.si.edu/ids/iiif/SAAM-1963.9.5_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1963.9.5_1]
Portrait of a Connecticut Clockmaker,,,,FALSE,Male,Regular,ca. 1800,"https://ids.si.edu/ids/iiif/SAAM-1967.136.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1967.136.2_1]
Portrait of a Connecticut Clockmaker's Wife,,,,FALSE,Female,Regular,ca. 1800,"https://ids.si.edu/ids/iiif/SAAM-1967.136.3_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1967.136.3_1]
Portrait of a Gentleman,,English,,FALSE,Male,Regular,ca. 1800,"https://ids.si.edu/ids/iiif/SAAM-1956.11.42_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1956.11.42_1]
Portrait of a Gentleman,,,,FALSE,Male,Miniature,ca. 1780-1790,"https://ids.si.edu/ids/iiif/SAAM-1999.27.34_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.34_1]
Portrait of a Gentleman,,,,FALSE,Male,Miniature,ca. 1805,"https://ids.si.edu/ids/iiif/SAAM-1979.152_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1979.152_1]
Portrait of a Gentleman,"Raphaelle Peale (b. Annapolis, MD 1774 d. Philadelphia)",American,,FALSE,Male,Miniature,ca. 1805,"https://ids.si.edu/ids/iiif/SAAM-1950.4.6_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.6_1]
Portrait of a Gentleman,"James Peale (b. Chestertown, MD 1749 d. Philadelphia)",American,,FALSE,Male,Miniature,1800,"https://ids.si.edu/ids/iiif/SAAM-1999.27.37_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.37_1]
Portrait of a Gentleman,"Henry Benbridge (b. Philadelphia, PA 1743 d. Philadelphia)",American,,FALSE,Male,Miniature,ca. 1795,"https://ids.si.edu/ids/iiif/SAAM-1999.27.45_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.45_1]
Portrait of a Gentleman,,,,FALSE,Male,Miniature,ca. 1790,"https://ids.si.edu/ids/iiif/SAAM-1975.5_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1975.5_1]
Portrait of a Gentleman,"Walter Robertson (b. Dublin, Ireland ca. 1750 d. Fatehpur)",Irish,,FALSE,Male,Miniature,ca. 1796,"https://ids.si.edu/ids/iiif/SAAM-1936.6.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1936.6.1_1]
Portrait of a Gentleman,,,,FALSE,Male,Miniature,ca. 1810,"https://ids.si.edu/ids/iiif/SAAM-1996.91.27_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1996.91.27_1]
Portrait of a Gentleman,,,,FALSE,Male,Miniature,ca. 1800,"https://ids.si.edu/ids/iiif/SAAM-1999.27.78_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.78_1]
Portrait of a Gentleman,"P. E. Stroëhling (b. Dusseldorf, Germany 1768 d. London)",German,,FALSE,Male,Miniature,ca. 1800,"https://ids.si.edu/ids/iiif/SAAM-1946.9.3_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1946.9.3_1]
Portrait of a Gentleman,"John Trumbull (b. Lebanon, CT 1756 d. New York City 1843)",American,,FALSE,Male,Miniature,ca. 1790,"https://ids.si.edu/ids/iiif/SAAM-1984.64_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1984.64_1]
Portrait of a Gentleman,,,,FALSE,Male,Miniature,ca. 1805,"https://ids.si.edu/ids/iiif/SAAM-1999.27.59.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.59.1_1]
Portrait of a Gentleman,"Alexander Robertson (b. Aberdeen, Scotland d. New York City 1841)",Scottish,,FALSE,Male,Miniature,ca. 1795,"https://ids.si.edu/ids/iiif/SAAM-1942.10.3_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1942.10.3_1]
Portrait of a Gentleman,"James Peale (b. Chestertown, MD 1749 d. Philadelphia)",American,,FALSE,Male,Miniature,1789,"https://ids.si.edu/ids/iiif/SAAM-1999.27.36_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.36_1]
Portrait of a Gentleman,"James Peale (b. Chestertown, MD 1749 d. Philadelphia)",American,,FALSE,Male,Miniature,1793,"https://ids.si.edu/ids/iiif/SAAM-2012.21_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-2012.21_1]
Portrait of a Gentleman,,,,FALSE,Male,Miniature,ca. 1795,"https://ids.si.edu/ids/iiif/SAAM-1959.7.22_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1959.7.22_1]
Portrait of a Gentleman with Initials A.S.N.,Jean Francois De Vallee (b. 1794; d. 1828),French,,FALSE,Male,Miniature,ca. 1805,"https://ids.si.edu/ids/iiif/SAAM-1941.5.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1941.5.1_1]
Portrait of a Gentleman with Initials Ca. B.,,,,FALSE,Male,Miniature,ca. 1795,"https://ids.si.edu/ids/iiif/SAAM-1980.95.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1980.95.2_1]
Portrait of a Gentleman with Initials G. D.,"Raphaelle Peale (b. Annapolis, MD 1774 d. Philadelphia)",American,G. D.,FALSE,Male,Miniature,ca. 1805,"https://ids.si.edu/ids/iiif/SAAM-1942.7.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1942.7.2_1]
Portrait of a Gentleman with Initials H. D. Ca.,,,,FALSE,Male,Miniature,ca. 1795,"https://ids.si.edu/ids/iiif/SAAM-1980.95.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1980.95.1_1]
Portrait of a Gentleman with Initials J. B.,"Benjamin Trott (b. Boston, MA ca. 1770 d. Washington)",American,,FALSE,Male,Miniature,ca. 1795,"https://ids.si.edu/ids/iiif/SAAM-1954.6.4_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1954.6.4_1]
Portrait of a Lady,,,,FALSE,Female,Miniature,late 18th century,"https://ids.si.edu/ids/iiif/SAAM-1999.27.63_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.63_1]
Portrait of a Lady,,,,FALSE,Female,Miniature,ca. 1800,"https://ids.si.edu/ids/iiif/SAAM-1959.7.21_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1959.7.21_1]
Portrait of a Lady,,,,FALSE,Female,Miniature,1800,"https://ids.si.edu/ids/iiif/SAAM-1966.4.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1966.4.2_1]
Portrait of a Lady,,French,,FALSE,Female,Miniature,ca. 1775,"https://ids.si.edu/ids/iiif/SAAM-1954.6.5_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1954.6.5_1]
Portrait of a Lady,,,,FALSE,Female,Miniature,ca. 1780,"https://ids.si.edu/ids/iiif/SAAM-1979.153.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1979.153.2_1]
Portrait of a Lady,"William M. S. Doyle (b. Boston, MA 1769 d. Boston)",American,,FALSE,Female,Miniature,1810,"https://ids.si.edu/ids/iiif/SAAM-1954.6.3_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1954.6.3_1]
Portrait of a Lady from S. Carolina Huguenot Family,"Lawrence Sully (b. Kilkenny, Ireland 1769 d. Richmond)",Irish,,FALSE,Female,Miniature,ca. 1795,"https://ids.si.edu/ids/iiif/SAAM-1950.4.5_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.5_1]
Portrait of a Man,"Jacob Eichholtz (b. Lancaster, PA 1776 d. Lancaster)",American,,FALSE,Male,Regular,ca. 1809,"https://ids.si.edu/ids/iiif/SAAM-1964.6.2_2/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1964.6.2_2]
Portrait of a Man,,,,FALSE,Male,Regular,early 19th century,"https://ids.si.edu/ids/iiif/SAAM-1986.65.153_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1986.65.153_1]
Portrait of a Man,,English,,FALSE,Male,Regular,ca. 1790,"https://ids.si.edu/ids/iiif/SAAM-1979.5.10_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1979.5.10_1]
Portrait of a Man,,,,FALSE,Male,Regular,early 19th century,"https://ids.si.edu/ids/iiif/SAAM-1986.65.179_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1986.65.179_1]
Portrait of a Woman,"Jacob Eichholtz (b. Lancaster, PA 1776 d. Lancaster)",American,,FALSE,Female,Regular,ca. 1809,"https://ids.si.edu/ids/iiif/SAAM-1964.6.1_2/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1964.6.1_2]
Portrait of a Young Lady,"William Verstille (b. Boston, MA ca. 1755 d. Boston)",American,,FALSE,Female,Miniature,ca. 1790,"https://ids.si.edu/ids/iiif/SAAM-1942.11.5_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1942.11.5_1]
Portrait of the Artist and His Wife,"William Leslie (b. England before 1769; d. London, England 1812)",English,"Mrs. William Leslie, William Leslie",FALSE,"Female, Male",Miniature,ca. 1800-1812,"https://ids.si.edu/ids/iiif/SAAM-1999.27.24_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.24_1]
Retrato de caballero,"José Campeche y Jordán (b. San Juan, Puerto Rico 1751; d. San Juan, Puerto Rico 1809)",Puerto Rican,,FALSE,Male,Regular,ca. 1805-1809,"https://ids.si.edu/ids/iiif/SAAM-1996.91.3_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1996.91.3_1]
Reverend John Carroll,,,Rev. John Carroll (b. 8 Jan 1735; d. 3 Dec 1815),FALSE,Male,Regular,ca. 1809,"https://ids.si.edu/ids/iiif/NPG-8900562A_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-8900562A_1]
Reverend Justus Henry Christian Helmuth,John Eckstein (b. 1736; d. 1817),German,Rev. Justus Henry Christian Helmuth (b. 16 May 1745; d. 5 Feb 1825),FALSE,Male,Regular,ca. 1795,"https://ids.si.edu/ids/iiif/NPG-NPG_67_7Helmuth-000003/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_67_7Helmuth-000003]
Richard Bache,John Hoppner (b. 1758; d. 1810),English,Richard Bache (b. 1737; d. 1811),FALSE,Male,Regular,1792-93,"https://ids.si.edu/ids/iiif/NPG-NPG_2011_145Bache-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2011_145Bache-000001]
Richard Henry Lee,Charles Willson Peale (b. 15 Apr 1741; d. 22 Feb 1827),,Richard Henry Lee (b. 20 Jan 1732; d. 19 Jun 1794),FALSE,Male,Regular,ca. 1795-1805,"https://ids.si.edu/ids/iiif/NPG-NPG_74_5/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_74_5]
Robert Broome,"Anson Dickinson (b. Milton, CT 1779 d. Litchfied)",American,Robert Broome,FALSE,Male,Miniature,ca. 1810,"https://ids.si.edu/ids/iiif/SAAM-1948.2.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1948.2.1_1]
Robert Hooper,"John Singleton Copley (b. Boston, MA 1738; d. 1815)",American,Jr. Robert Hooper,FALSE,Male,Regular,ca. 1770-1772,"https://ids.si.edu/ids/iiif/SAAM-2006.12.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-2006.12.1_1]
Robert Morris,Robert Edge Pine (b. ca. 1730; d. 1788),English,Robert Morris (b. 31 Jan 1734; d. 8 May 1806),FALSE,Male,Regular,ca. 1785,"https://ids.si.edu/ids/iiif/NPG-NPG_73_20/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_73_20]
Robert Oliphant,"Raphaelle Peale (b. Annapolis, MD 1774 d. Philadelphia)",American,Robert Oliphant,FALSE,Male,Miniature,1799,"https://ids.si.edu/ids/iiif/SAAM-1942.2.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1942.2.2_1]
Rubens Peale,Rembrandt Peale (b. 22 Feb 1778; d. 3 Oct 1860),American,Rubens Peale (b. 1784; d. 1865),FALSE,Male,Regular,1807,"https://ids.si.edu/ids/iiif/NPG-8600424A_2/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-8600424A_2]
Rubens Peale,"Raphaelle Peale (b. Annapolis, MD 1774 d. Philadelphia)",American,Rubens Peale,FALSE,Male,Miniature,ca. 1800,"https://ids.si.edu/ids/iiif/SAAM-1941.9.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1941.9.1_1]
Samuel Blodget,John Trumbull (b. 6 Jun 1756; d. 10 Nov 1843),American,"Samuel Blodget (b. Jr., 28 Aug 1757; d. 11 Apr 1814)",FALSE,Male,Regular,ca. 1784,"https://ids.si.edu/ids/iiif/NPG-NPG_2013_29Blodget-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2013_29Blodget-000001]
Samuel Chase,John Wesley Jarvis (b. 1780; d. 14 Jan 1840),American,Samuel Chase (b. 17 Apr 1741; d. 19 Jun 1811),FALSE,Male,Regular,1811,"https://ids.si.edu/ids/iiif/NPG-NPG_67_2Chase-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_67_2Chase-000001]
Samuel F. B. Morse,Samuel Finley Breese Morse (b. 27 Apr 1791; d. 2 Apr 1872),American,Samuel Finley Breese Morse (b. 27 Apr 1791; d. 2 Apr 1872),TRUE,Male,Regular,1812,"https://ids.si.edu/ids/iiif/NPG-NPG_80_208Morse_d1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_80_208Morse_d1]
"Samuel Love, Jr.","Robert Field (b. Gloucestershire, England ca. 1769 d. Kingston)",English,Jr. Samuel Love,FALSE,Male,Miniature,1800,"https://ids.si.edu/ids/iiif/SAAM-1942.10.4_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1942.10.4_1]
Samuel Miles,Gilbert Stuart (b. 3 Dec 1755; 9 Jul 1828),American,Samuel Miles (b. 11 Mar 1740; d. 6 Dec 1805),FALSE,Male,Regular,ca. 1800,"https://ids.si.edu/ids/iiif/NPG-NPG_2019_22-000002/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2019_22-000002]
Samuel Seabury,Ralph Earl (b. 11 May 1751; d. 16 Aug 1801),American,Samuel Seabury (b. 30 Nov 1729; d. 25 Feb 1796),FALSE,Male,Regular,1785,"https://ids.si.edu/ids/iiif/NPG-NPG_84_171/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_84_171]
Samuel Smith,Gilbert Stuart (b. 3 Dec 1755; d. 9 Jul 1828),American,Samuel Smith (b. 27 Jul 1752; d. 22 Apr 1839),FALSE,Male,Regular,ca. 1800,"https://ids.si.edu/ids/iiif/NPG-NPG_66_50Smith-000002/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_66_50Smith-000002]
Sir Guy Carelton,,English,Guy Carleton,FALSE,Male,Miniature,ca. 1770,"https://ids.si.edu/ids/iiif/SAAM-1950.4.20_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.20_1]
Susan Poinsett,"Edward Greene Malbone (b. Newport, RI 1777 d. Savannah)",American,Susan Poinsett,FALSE,Female,Miniature,ca. 1801-1802,"https://ids.si.edu/ids/iiif/SAAM-1999.27.27_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.27_1]
Susanne Correy,"James Peale (b. Chestertown, MD 1749 d. Philadelphia)",American,Susan Correy,FALSE,Female,Miniature,ca. 1790,"https://ids.si.edu/ids/iiif/SAAM-1979.153.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1979.153.1_1]
T. Stanford,Ebenezer Mack (b. 1765; d. 1833),American,T. Stanford,FALSE,Male,Miniature,ca. 1795,"https://ids.si.edu/ids/iiif/SAAM-1957.3.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1957.3.2_1]
The Davis Children (Eliza Cheever Davis and John Derby Davis),"Edward Savage (b. Princeton, MA 1761 d. Princeton)",American,"Eliza Cheever Davis, John Derby Davis",FALSE,Female,Regular,1795,"https://ids.si.edu/ids/iiif/SAAM-2019.6.12_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-2019.6.12_1]
The Misses Mary and Hannah Murray,"John Trumbull (b. Lebanon, CT 1756 d. New York City 1843)",American,"Hannah Murray, Mary Murray",FALSE,Female,Regular,1806,"https://ids.si.edu/ids/iiif/SAAM-1988.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1988.2_1]
The Wiley Family,"William Williams (b. Bristol, England 1727 d. Bristol)",English,John Wiley,FALSE,"Male, Female",Regular,1771,"https://ids.si.edu/ids/iiif/SAAM-2006.12.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-2006.12.2_1]
Theresa Diana Levesque,Ambrose Duval (b. ca. 1778),French,Theresa Diana Levesque,FALSE,Female,Miniature,1810,"https://ids.si.edu/ids/iiif/SAAM-1975.59.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1975.59.2_1]
Thomas Ash II,Thomas Sully (b. 19 Jun 1783; d. 5 Nov 1872),American,Thomas Ash II (b. 1785; d. after 1824),FALSE,Male,Regular,1807,"https://ids.si.edu/ids/iiif/NPG-NPG_2008_4Ash_d1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2008_4Ash_d1]
Thomas Jefferson,Mather Brown (b. 7 Oct 1761; d. 25 May 1831),American,Thomas Jefferson (b. 13 Apr 1743; d. 4 Jul 1826),FALSE,Male,Regular,1786,"https://ids.si.edu/ids/iiif/NPG-NPG_99_66Jefferson_d1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_99_66Jefferson_d1]
Thomas Lee Shippen,"James Peale (b. Chestertown, MD 1749 d. Philadelphia)",American,Thomas Lee Shippen,FALSE,Male,Miniature,1795,"https://ids.si.edu/ids/iiif/SAAM-1999.87.4_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.87.4_1]
Thomas McKean,,,Thomas McKean (b. 19 Mar 1734; d. 24 Jun 1817),FALSE,Male,Regular,after 1787,"https://ids.si.edu/ids/iiif/NPG-NPG_66_63McKean-000003/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_66_63McKean-000003]
Thomas Paine,Laurent Dabos (b. 1761; d. 1835),French,Thomas Paine (b. 29 Jan 1737; d. 8 Jun 1809),FALSE,Male,Regular,ca. 1792,"https://ids.si.edu/ids/iiif/NPG-NPG_2008_5/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2008_5]
Thomas Pinckney,John Trumbull (b. 6 Jun 1756; d. 10 Nov 1843),American,Thomas Pinckney (b. 23 Oct 1750; d. 2 Nov 1828),FALSE,Male,Regular,1791,"https://ids.si.edu/ids/iiif/NPG-NPG_2007_211/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2007_211]
Thomas Say,Joseph Wood (b. ca. 1778; d. 1830),American,Thomas Say (b. 27 Jun 1787; d. 10 Oct 1834),FALSE,Male,Regular,ca. 1812,"https://ids.si.edu/ids/iiif/NPG-NPG_72_112Say-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_72_112Say-000001]
Thomas Stone,Robert Edge Pine (b. ca. 1730; d. 1788),English,Thomas Stone (b. 1743; d. 5 Oct 1787),FALSE,Male,Regular,ca. 1785,"https://ids.si.edu/ids/iiif/NPG-NPG_71_44/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_71_44]
"Thomas Williams, of Annapolis","Robert Field (b. Gloucestershire, England ca. 1769 d. Kingston)",English,Thomas Williams,FALSE,Male,Miniature,ca. 1800,"https://ids.si.edu/ids/iiif/SAAM-1978.67.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1978.67.2_1]
"Three-Way Portrait of Thomas Jefferson, James Monroe, and Unidentified Native American (William McIntosh?)",,,"Thomas Jefferson, James Monroe, and Unidentified Native American",FALSE,Male,Regular,early 19th century,"https://ids.si.edu/ids/iiif/SAAM-1967.90.1_4/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1967.90.1_4]
West Family in the Studio Garden,Benjamin West (b. 10 Oct 1738; d. 11 Mar 1820),American,Benjamin West (b. 10 Oct 1738; d. 11 Mar 1820),TRUE,"Male, Female",Regular,1808-09,"https://ids.si.edu/ids/iiif/NPG-NPG_77_34Westfamily-000004/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_77_34Westfamily-000004]
William Boswell Lamb,,,William Roswell Lamb,FALSE,Male,Miniature,ca. 1795,"https://ids.si.edu/ids/iiif/SAAM-1980.126.4_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1980.126.4_1]
William Carmichael,,,William Carmichael (b. ?; d. Feb 1795),FALSE,Male,Regular,1770s,"https://ids.si.edu/ids/iiif/NPG-NPG_2010_49_int/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2010_49_int]
William Dunlap,William Dunlap (b. 18 Feb 1766; d. 28 Sep 1839),American,William Dunlap (b. 18 Feb 1766; d. 28 Sep 1839),TRUE,Male,Regular,ca. 1805,"https://ids.si.edu/ids/iiif/NPG-NPG_2013_40/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2013_40]
William Linn,,,William Linn (b. 27 Feb 1752; d. 8 Jan 1808),FALSE,Male,Regular,early 1790s,"https://ids.si.edu/ids/iiif/NPG-NPG_2007_11Linn-000003/full/250,/0/default.jpg","[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2007_11Linn-000003, https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2007_11Linn_int-000001]"
William Linn,John Wesley Jarvis (b. 1780; d. 14 Jan 1840),English,William Linn (b. 27 Feb 1752; d. 8 Jan 1808),FALSE,Male,Regular,1805,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2007_12Linn-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2007_12Linn-000001]
William Mather Smith,"Archibald Robertson (b. Moneymusk, Scotland d. New York City 1835)",Scottish,William Mather Smith,FALSE,Male,Miniature,ca. 1810,"https://ids.si.edu/ids/iiif/SAAM-1944.7.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1944.7.2_1]
William McIntyre,"John Wesley Jarvis (b. South Shields, England 1780 d. New York City 1840)",English,William McIntyre,FALSE,Male,Miniature,early 19th century,"https://ids.si.edu/ids/iiif/SAAM-1999.27.22_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.22_1]
William Moultrie,Charles Willson Peale (b. 15 Apr 1741; d. 22 Feb 1827),American,William Moultrie (b. 1730; d. 27 Sep 1805),FALSE,Male,Regular,1782,"https://ids.si.edu/ids/iiif/NPG-NPG_65_57/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_65_57]
William Shippen,"James Peale (b. Chestertown, MD 1749; d. Philadelphia, PA 1831)",American,William Shippen,FALSE,Male,Miniature,1794,"https://ids.si.edu/ids/iiif/SAAM-1999.87.5_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.87.5_1]
William Thornton,"Robert Field (b. Gloucestershire, England ca. 1769; d. Kingston, Jamaica 1819)",English,William Thornton,FALSE,Male,Miniature,ca. 1800,"https://ids.si.edu/ids/iiif/SAAM-1960.6.1_2/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1960.6.1_2]
William Wirt,Cephas Thompson (b. 1 Jul 1775; d. 6 Nov 1856),American,William Wirt (b. 8 Nov 1772; d. 18 Feb 1834),FALSE,Male,Regular,ca. 1809-10,"https://ids.si.edu/ids/iiif/NPG-NPG_89_11/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_89_11]
Young Woman of the Chase Family,,,Chase,FALSE,Female,Miniature,1810,"https://ids.si.edu/ids/iiif/SAAM-1999.27.17_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.17_1]